Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"Nha Khoa Quốc Tế Sơn Tây","55","52 Phùng Khắc Khoan, phường, Sơn Tây, Hà Nội, Việt Nam","+84 24 3391 5999","https://nhakhoaquoctetueminh.com/","","","Đã có Web","4,9","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng Khám Nha Khoa","95","6 P. Chùa Thông, Tông, Sơn Tây, Hà Nội, Việt Nam","+84 24 3383 4198","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,3","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng Khám Đa Khoa Thụy Ứng","85","22 Ngõ 107 Tây Sơn, Đan Phượng, Hà Nội, Việt Nam","+84 24 3388 6503","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,8","4","Có SĐT (+25); Chưa có Website (+20); Có tương tác/đang hoạt động (+10)"
"Phòng khám bác sĩ","60","Số 76 Ái Mỗ, Tông, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","","0","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10)"
"Phòng Khám Đa Khoa Đức Tín","85","Phúc Thọ, Hà Nội, Việt Nam","+84 984 712 115","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,0","4","Có SĐT (+25); Chưa có Website (+20); Có tương tác/đang hoạt động (+10)"
"Thú y Sơn Tây Pet","95","Ngõ 28 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 962 252 200","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,2","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"TCVN-Trung tâm tiêm chủng Vắc xin TCVN Sơn Tây","95","183 P. Chùa Thông, Tông, Sơn Tây, Hà Nội 12717, Việt Nam","+84 968 508 115","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Bệnh Viện Quân Y 105","55","2 P. Chùa Thông, Tông, Sơn Tây, Hà Nội, Việt Nam","+84 24 3393 0414","http://benhvienquany105.vn/","","","Đã có Web","3,2","3","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng Khám","70","90 Chùa Thông Ng. 35, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,6","4","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng khám bệnh Chuyên khoa Nội thần kinh 75 Tùng Thiện","85","75 P. Tùng Thiện, Tông, Sơn Tây, Hà Nội, Việt Nam","+84 983 833 998","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","","0","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10)"
