Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"cơm quê Hùng Hạnh ( Làng Cổ Đường Lâm )","95","Sơn Tây, Hà Nội, Việt Nam","+84 353 252 868","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,9","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Hàng Mạnh Cường Trâu Cá","95","Cụm công nghiệp, Đ. La Thành, Sơn Tây, Hà Nội 12700, Việt Nam","+84 979 751 192","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,4","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Hàng Dũng Béo","95","5F89+2F7, Phố Mía, Sơn Tây, Hà Nội, Việt Nam","+84 967 944 442","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,2","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Next Xu cafe Sơn Tây","95","24 KĐT HUD, Sơn Tây, Hà Nội, Việt Nam","+84 963 323 018","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Thịt quay đòn Lương Hương","95","5F69+4P4, Thôn, Dông Sàng, Sơn Tây, Hà Nội, Việt Nam","+84 379 064 874","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Trung Tâm Văn Hoá Thể Thao Sơn Tây","70","49 P. Nguyễn Thái Học, P, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,7","4","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Thành Cổ Sơn Tây","30","Đ. La Thành, Sơn Tây, Hà Nội, Việt Nam","","https://baochinhphu.vn/thanh-co-son-tay-10235788.htm","","","Đã có Web","4,5","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Jollibee Sơn Tây","55","LKV12/02 Phố Quang Trung, Khu độ thị HUD, Sơn Tây, Hà Nội, Việt Nam","+84 24 7301 0215","https://jollibee.com.vn/","","","Đã có Web","4,7","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Hàng Sinh Thái Làng Mai","95","119 Phố Quang Trung, P, Sơn Tây, Hà Nội, Việt Nam","+84 24 3361 6588","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,9","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Sân Vận Động Sơn Tây","30","4GP2+MQJ, 111 P. Nguyễn Thái Học, Sơn Tây, Hà Nội, Việt Nam","","http://www.sontay.com.vn/","","","Đã có Web","4,4","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"H+ Garden Cafe","95","4GJ4+962, Unnamed, Road, Sơn Tây, Hà Nội, Việt Nam","+84 923 588 550","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Lẩu Ếch Khánh Đồng 14","70","4GJ3+MVX, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,0","4","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cafe Seasons","95","8 Trưng Vương, Sơn Tây, Hà Nội, Việt Nam","+84 24 3387 2888","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,7","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"H+ Signature","30","Số 5 LKV13 khu đô thị HUD, P, Sơn Tây, Hà Nội, Việt Nam","","http://hcongcaphe.com.vn/","","","Đã có Web","4,5","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Khách Sạn Lâm Ký","95","119 Phố Quang Trung, P, Sơn Tây, Hà Nội, Việt Nam","+84 24 3361 6588","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cột Cờ Sơn Tây","30","4GQ3+8H8 Thành Cổ Sơn Tây, Sơn Tây, Hà Nội, Việt Nam","","http://www.sontay.com.vn/","","","Đã có Web","4,7","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cafe Karaoke 366","95","366 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 977 393 565","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,5","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phở C","95","98 Lê Lợi, Sơn Tây, Hà Nội, Việt Nam","+84 383 053 286","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Milano Cafe Số 1 Phú Hà","95","1 Đ. Phú Hà, Sơn Tây, Hà Nội, Việt Nam","+84 989 383 667","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Mây Cafe","70","50 Đ. Phú Hà, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,0","4","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Vịt Thảo Béo","95","308 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 973 495 620","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,8","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Bệnh Viện Đa Khoa Sơn Tây","70","đường Lê Lợi, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","2,7","2","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nha Khoa Quốc Tế Sơn Tây","55","52 Phùng Khắc Khoan, phường, Sơn Tây, Hà Nội, Việt Nam","+84 24 3391 5999","https://nhakhoaquoctetueminh.com/","","","Đã có Web","4,9","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Vườn hoa Lê Lợi thị xã Sơn Tây","30","1 Lê Lợi, Sơn Tây, Hà Nội, Việt Nam","","http://www.sontay.com.vn/","","","Đã có Web","4,5","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"YODY Sơn Tây","55","32 Phùng Khắc Khoan, Sơn Tây, Hà Nội 12750, Việt Nam","+84 915 310 258","https://yody.vn/","","","Đã có Web","4,8","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Hương Lộc - Bún chả","95","38D Đinh Tiên Hoàng, Sơn Tây, Hà Nội, Việt Nam","+84 356 634 283","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Chi Cục Thuế Sơn Tây","30","11 P. Phó Đức Chính, Sơn Tây, Hà Nội 100000, Việt Nam","","https://thuthuat.taimienphi.vn/dia-chi-chi-cuc-thue-thi-xa-son-tay-52038n.aspx","","","Đã có Web","3,4","3","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Deli Cafe","70","4GW3+538, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,7","4","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Highlands Coffee HUD Sơn Tây","55","Sơn Tây, Hà Nội, Việt Nam","+84 24 5678 0097","https://highlandscoffee.com.vn/","","","Đã có Web","3,9","3","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Rino Cafe","100","LKV 14, Lô 5, Khu đô thị HUD, Sơn Tây, Hà Nội, Việt Nam","+84 969 304 955","","http://facebook.com/Rino-Coffee-277706173012211","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,7","3","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Làng cổ Đường Lâm","55","5F4C+RXQ, Sơn Tây, Hà Nội, Việt Nam","+84 366 473 532","https://langcoduonglam.vn/","","","Đã có Web","4,4","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Bến Xe Sơn Tây","70","Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,3","3","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Coffe Phê Đi","95","4GM2+FWG, Sơn Tây, Hà Nội, Việt Nam","+84 978 868 012","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,2","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cà phê Hoa Sữa","95","1 P. Phó Đức Chính, Sơn Tây, Hà Nội, Việt Nam","+84 24 3383 2650","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,0","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Doai Tour and Homestay (Duong Lam ancient village)","55","no 14 Đường Lâm, Sơn Tây, Hà Nội, Việt Nam","+84 375 644 275","http://dulichxudoai.com/","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Ghế massage Hà Nội - Fuji luxury Sơn Tây","55","248 P. Chùa Thông, Sơn Tây, Hà Nội 100000, Việt Nam","+84 1900 866685","http://massagechair.com.vn/","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Bánh Tôm An An","100","1C Đ. La Thành, Sơn Tây, Hà Nội 100000, Việt Nam","+84 965 992 151","","https://www.facebook.com/profile.php?id=100007178894415&mibextid=2JQ9oc","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,9","4","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Văn Miếu Sơn Tây","55","5F3M+JF8, Sơn Tây, Hà Nội, Việt Nam","+84 24 8589 3838","http://sontay.hanoi.gov.vn/","","","Đã có Web","4,2","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cafe Bao Cấp","70","Unnamed Road, 440 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,7","4","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Green Garden Coffee","100","Ngõ 10 P. Chùa Thông, Tông, Sơn Tây, Hà Nội, Việt Nam","+84 983 252 979","","https://www.facebook.com/GGardenCoffee/","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Quán Phở Thìn","70","129 P. Chùa Thông, Tông, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,9","3","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Quán Cafe Americano","70","69 Phố Quang Trung, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,0","4","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cà phê Nhạc cụ","100","94 phố Lê Lợi, Sơn Tây, Hà Nội, Việt Nam","+84 989 412 780","","https://www.facebook.com/vhsr.vuonhoa","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cafe Helen","95","Sơn Tây, Hà Nội, Việt Nam","+84 989 487 501","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,4","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"LEE LATTE","95","4GJ3+RQ9, Sơn Tây, Hà Nội, Việt Nam","+84 976 681 237","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,7","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Luca cafe","95","liền kề 13/C1 Đ. Phú Hà, khu đô thị, Sơn Tây, Hà Nội, Việt Nam","+84 961 293 789","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Plumeria Spa by Royal - Sơn Tây","55","KLK8 khu đô thị HUB, Sơn Tây, Hà Nội, Việt Nam","+84 916 688 278","https://pr-vn.com/plumeriaspasontay","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Thờ Sơn Tây Hưng Hóa","95","70 Lê Lợi, Sơn Tây, Hà Nội, Việt Nam","+84 962 369 994","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,6","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Trà sữa ToCoToCo Thành Cổ Sơn Tây","55","7/29 Phan Chu Trinh, Sơn Tây, Hà Nội, Việt Nam","+84 968 947 245","http://tocotocotea.com/","","","Đã có Web","4,2","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
