Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"Làng Đoài homestay - Apartment","20","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/6949a35f5c042e01bacd4862?dest=bkng&cat=House&lat=21.1559&lng=105.46757&language=pt","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Duong Lam Village-double room inside the center","20","Sơn Tây, Hà Nội, Việt Nam","","https://www.agoda.com/duong-lam-village-1br-inside-duong-lam-center/hotel/hanoi-vn.html","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Đoài homestay Đường Lâm - Bungalow with Garden View","20","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/68e3dc57f93025efadaaeeb0?dest=nuit&cat=Bed+and+breakfast&lat=21.15816&lng=105.47142&language=pt","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Moon Garden - Homestay Đường Lâm, Hà Nội","30","Sơn Tây, Hà Nội, Việt Nam","","https://www.booking.com/hotel/vn/moon-garden-homestay-duong-lam-ha-noi.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14496979&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14496979_grp-3_gendate-20260531","","","Đã có Web","4,5","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Duong Lam Village Homestay - Twin Room","20","Sơn Tây, Hà Nội, Việt Nam","","https://www.agoda.com/duong-lam-village-double-room/hotel/hanoi-vn.html","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Chicken's house- Đường Lâm Homestay - Deluxe Double Room","30","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/5d27f531e24da43a581cb802?dest=bkng&cat=House&lat=21.1584&lng=105.47031&language=pt","","","Đã có Web","4,2","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Đường Lâm homestay - House Number 9 - Twin Room with Garden View","30","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/63990178c551970d3c778f6d/933861202?dest=bkng&cat=House&lat=21.1571&lng=105.46818&language=pt","","","Đã có Web","4,3","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Elephant's House - Đường Lâm Homestay - Double Room","30","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/5df4f12de24da45b685bf3a9?dest=bkng&cat=House&lat=21.15725&lng=105.47236&language=pt","","","Đã có Web","4,2","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"[Private] Xomhe Duong Lam Ha Noi - Three-Bedroom Apartment","30","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/65c9ee3c671b07d23c68ae03?dest=bkng&cat=Apartment&lat=21.15898&lng=105.46788&language=pt","","","Đã có Web","5,0","5","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Mami Retreat - Homestay Đường Lâm, Sơn Tây - Double Room","70","Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","2,8","2","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Đường Lâm Village - Double Room","30","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/63990077c551970d3c770a81?dest=bkng&cat=House&lat=21.1402&lng=105.50638&language=pt","","","Đã có Web","4,8","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Chicken's house- Đường Lâm Homestay - Economy Double Room","30","Sơn Tây, Hà Nội, Việt Nam","","https://www.freecancellations.com/search/F2ZyS1ZcHHZRDVVVDVlSEgtYDU0zEwYX?lat=21.1584&lng=105.47031&language=de","","","Đã có Web","4,2","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
